# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# WT_Hyli_AS - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
#
#----------------------------------------------------------------------------
#
ID	WT_Hyli_AS	WT_Hyli_S	WT_Hywi_AS	WT_Hywi_S	Colch_Hyli_AS	Colch_Hyli_S	Colch_Hywi_AS	Colch_Hywi_S
t32820aep	0	0	0	0	0	0	0	0
t37014aep	123.71	1725.05	1064.13	64.53	805.42	184.32	378.93	171.99
t32811aep	0	1	0	2	0	0	0	0
t32809aep	0	0	0	4	0	0	0	11
t32815aep	0	5	0	3	0	28	0	0
t32819aep	0	43	0	7	0	23	0	2
t32808aep	0	0	0	0	0	0	0	0
t32810aep	0	12	0	5	0	0	0	3
t35725aep	0	0	0	0	0	0	0	0
t35726aep	0	6	0	15	0	5	0	24.81
t35727aep	0	0	0	0	0	5.96	0	0
t35729aep	0	0	0	0	0	0	0	0
t35724aep	0	375.87	0	90.31	0	1894.06	0	439.13
t37012aep	0	0	0	0	0	0	0	0
t35722aep	234.47	102	601.36	1019.79	222.08	9	61.78	70
t35728aep	0	0	0	0	0	0	0	0
t35723aep	0	0	0	1	319.41	0	54.16	0
t37009aep	0	11	0	4	0	8	0	1
t35721aep	0	0	0	0	0	0	0	0
t35980aep	0	0	0	0	0	0	0	0
t35979aep	0	3	0	2	0	13	0	4
t35987aep	0	0	0	0	0	0	0	0
t35981aep	0	27	0	11	0	24	0	11.33
t35991aep	0	20	0	7	0	53	2	3
t35978aep	0	26	0	11	0	114	10	6
t35990aep	1328.74	14	22.57	366	53.07	4	1.2	3
t35986aep	16697.87	88	194.71	431	3485.77	5	23.96	30
t37010aep	0	0	0	3	0	0	0	0
t35994aep	0	2092.46	2	18809.73	0	2170.97	0	28861.76
t35982aep	0	19	0	5.01	0	16.83	0	2
t35993aep	0	70	0	6	0	0	0	6
t35983aep	1778.32	0	40.09	2	2558.12	0	11.89	0
t35995aep	96.96	1229	980.44	4	156.3	1904	2894.9	5
t35988aep	0	11	0	5	0	4	0	39
t35989aep	0	0	0	0	0	0	0	0
t35992aep	0	0	0	0	0	0	0	0
t35984aep	0	0	0	17	0	0	0	11
t35985aep	0	2	0	2	0	2	0	12.99
t36967aep	0	0	5	0	0	0	0	0
t31648aep	0	2	0	0	0	0	0	1
t31653aep	164.12	12	1389.33	13.98	0	0	65.37	0
t31644aep	0	2	0	3	0	0	0	1
t31645aep	0	0	0	0	0	0	0	0
t31649aep	0	2	0	0	0	0	8.56	0
t31655aep	1491.62	1	9.21	1	236.17	0	166.64	0
t31654aep	0	0	0	0	0	0	0	0
t31651aep	0	1	0	2	0	0	0	0
t31650aep	0	0	0	0	0	0	0	0
t31646aep	0	0	0	0	0	0	0	0
t31652aep	19.5	80.97	204.87	8	32.94	9	372.48	9.66
t31647aep	0	46	0	16	0	0	0	7
t31656aep	0	0	0	0	0	0	0	0
t31657aep	0	0	0	0	0	0	0	0
t38635aep	21.74	2	0	52	101.19	6	97.08	105.37
t38649aep	0	0	0	0	0	0	0	0
t38637aep	0	2	0	7	0	0	1	1.99
t38640aep	112.84	178	424.05	43	5	0	186.58	2
t38651aep	0	0	0	0	0	0	0	0
t38641aep	0	0	0	0	0	0	0	0
t38642aep	0	0	0	0	0	0	0	0
t38633aep	0	57	0	19	0	35	0	61
t38650aep	0	0	0	0	0	0	0	0
