# small RNA Count Table  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-oriented mapping
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Endo_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hyli_S - raw Hyli sense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Endo_Hywi_S - raw Hywi sense-mapped piRNA counts from the endodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hyli_S - raw Hyli sense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Ecto_Hywi_S - raw Hywi sense-mapped piRNA counts from the ectodermal small RNA library mapped to the Hydra transcriptome
# Int_Hyli_AS - raw Hyli antisense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hyli_S - raw Hyli sense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hywi_AS - raw Hywi antisense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# Int_Hywi_S - raw Hywi sense-mapped piRNA counts from the interstitial small RNA library mapped to the Hydra transcriptome
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Endo_Hyli_AS" "Endo_Hyli_S" "Endo_Hywi_AS" "Endo_Hywi_S" "Ecto_Hyli_AS" "Ecto_Hyli_S" "Ecto_Hywi_AS" "Ecto_Hywi_S" "Int_Hyli_AS" "Int_Hyli_S" "Int_Hywi_AS" "Int_Hywi_S"
"t10119aep" 0 0 0 0 0 0 0 0 0 138 0 0
"t1011aep" 0 0 0 0 0 0 6.5 0 0 8 9 0
"t10120aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10121aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10122aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10123aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10124aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10125aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10126aep" 2 0 0 0 0 0 0 0 0 0 0 0
"t10127aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10128aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10129aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1012aep" 0 0 0 0 0 0 0 0 0 0 2 0
"t10130aep" 57 0 0 0 90 0 0 0 32 0 0 0
"t10131aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10132aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10133aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10134aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10135aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10136aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10137aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10138aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10139aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1013aep" 2 19 0 47 0 0 0 1 0 51.5 0 224.5
"t10140aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10141aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10142aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10143aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10144aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10145aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10146aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10147aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10148aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10149aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1014aep" 0 4 0 0 0 0 0 0 0 3 27 0
"t10150aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10151aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10152aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10153aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10154aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10155aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10156aep" 0 0 0 0 0 0 0 0 3 0 3 0
"t10157aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10158aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10159aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1015aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10160aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10161aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10162aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10163aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10164aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10165aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10166aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10167aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10168aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10169aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1016aep" 0 3 0 3 0 7.5 0 0 0 74.5 0 22
"t10170aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10171aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10172aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10173aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10174aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10175aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10176aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10177aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10178aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10179aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1017aep" 0 17 0 17 0 5 0 5 0 70.3333333333333 0 36
"t10180aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10181aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10182aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10183aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10184aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10185aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10186aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10187aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10188aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10189aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1018aep" 0 2 0 2 0 0 0 0 5 37.8333333333333 0 0
"t10190aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10191aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10192aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10193aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10194aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10195aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10196aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10197aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10198aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10199aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1019aep" 0 0 0 0 0 0 0 0 0 3 0 3
"t101aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10200aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10201aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10202aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10203aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10204aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10205aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10206aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10207aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10208aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10209aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1020aep" 0 45.6 0 44 0 42.4 0 24.6 5.5 251.633333333333 5.5 174.4
"t10210aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10211aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10212aep" 0 3 0 3 0 0 0 0 0 10 0 23
"t10213aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10214aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10215aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10216aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10217aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10218aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10219aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1021aep" 0 0 0 0 0 1 0 1 0 13.1666666666667 15.5 0
"t10220aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10221aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10222aep" 7 0 2 0 2 0 0 0 10 0 0 0
"t10223aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10224aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10225aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10226aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10227aep" 0 0 0 0 6.16666666666667 0 0 0 40.8333333333333 0 0 0
"t10228aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10229aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1022aep" 0 45.6 0 44 0 42.4 0 24.6 0 256.133333333333 12.5 174.4
"t10230aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10231aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10232aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10233aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10234aep" 0 0 0 0 0 0 0 0 4.25 0 0 0
"t10235aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10236aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10237aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10238aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10239aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1023aep" 0 65 0 0 0 11 0 0 5.33333333333333 128 11.8333333333333 0
"t10240aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10241aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10242aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10243aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10244aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10245aep" 0 0 0 4 0 0 0 0 6 0 4.33333333333333 0
"t10246aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10247aep" 0 0 0 0 7 0 0 0 6 0 0 0
"t10248aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10249aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1024aep" 0 2 0 0 0 10.25 0 2.25 0 39.4166666666667 3 37.5
"t10250aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10251aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10252aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10253aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10254aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10255aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10256aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10257aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10258aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10259aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1025aep" 0 170 0 159 0 79 0 79 0 45 17 45
"t10260aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10261aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10262aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10263aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10264aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10265aep" 10.5 0 10.5 0 1.5 0 1.5 0 5 0 5 0
"t10266aep" 0 9 0 9 0 0 0 0 0 0 0 0
"t10267aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10268aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10269aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t1026aep" 0 19 0 19 2.5 7.5 2.5 6 57.5 32.5 164 16
"t10270aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10271aep" 0 0 0 0 0 0 0 0 0 0 0 0
"t10272aep" 0 0 0 0 0 0 0 0 0 0 0 0
