# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"179" "t10161aep" FALSE FALSE FALSE FALSE
"180" "t10162aep" FALSE FALSE FALSE FALSE
"181" "t10163aep" FALSE FALSE FALSE FALSE
"182" "t10164aep" FALSE FALSE FALSE FALSE
"183" "t10165aep" FALSE FALSE FALSE FALSE
"184" "t10166aep" FALSE FALSE FALSE FALSE
"185" "t10167aep" FALSE FALSE FALSE FALSE
"186" "t10168aep" FALSE FALSE FALSE FALSE
"187" "t10169aep" FALSE FALSE FALSE FALSE
"188" "t1016aep" TRUE FALSE FALSE FALSE
"189" "t10170aep" FALSE FALSE FALSE FALSE
"190" "t10171aep" FALSE FALSE FALSE FALSE
"191" "t10172aep" FALSE FALSE FALSE FALSE
"192" "t10173aep" FALSE FALSE FALSE FALSE
"193" "t10174aep" FALSE FALSE FALSE FALSE
"194" "t10175aep" FALSE FALSE FALSE FALSE
"195" "t10176aep" FALSE FALSE FALSE FALSE
"196" "t10177aep" FALSE FALSE FALSE FALSE
"197" "t10178aep" FALSE FALSE FALSE FALSE
"198" "t10179aep" FALSE FALSE FALSE FALSE
"199" "t1017aep" TRUE FALSE FALSE FALSE
"200" "t10180aep" FALSE FALSE FALSE FALSE
"201" "t10181aep" FALSE FALSE FALSE FALSE
"202" "t10182aep" FALSE FALSE FALSE FALSE
"203" "t10183aep" FALSE FALSE FALSE FALSE
"204" "t10184aep" FALSE FALSE FALSE FALSE
"205" "t10185aep" FALSE FALSE FALSE FALSE
"206" "t10186aep" FALSE FALSE FALSE FALSE
"207" "t10187aep" FALSE FALSE FALSE FALSE
"208" "t10188aep" FALSE FALSE FALSE FALSE
"209" "t10189aep" FALSE FALSE FALSE FALSE
"210" "t1018aep" TRUE FALSE FALSE FALSE
"211" "t10190aep" FALSE FALSE FALSE FALSE
"212" "t10191aep" FALSE FALSE FALSE FALSE
"213" "t10192aep" FALSE FALSE FALSE FALSE
"214" "t10193aep" FALSE FALSE FALSE FALSE
"215" "t10194aep" FALSE FALSE FALSE FALSE
"216" "t10195aep" FALSE FALSE FALSE FALSE
"217" "t10196aep" FALSE FALSE FALSE FALSE
"218" "t10197aep" FALSE FALSE FALSE FALSE
"219" "t10198aep" FALSE FALSE FALSE FALSE
"220" "t10199aep" FALSE FALSE FALSE FALSE
"221" "t1019aep" FALSE FALSE FALSE FALSE
"222" "t101aep" FALSE FALSE FALSE FALSE
"223" "t10200aep" FALSE FALSE FALSE FALSE
"224" "t10201aep" FALSE FALSE FALSE FALSE
