# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"383"	"t10342aep"	2885.97	3736.05	3445.99	3269.99	3429	3815
"384"	"t10343aep"	15	14	8	15	14	9
"385"	"t10344aep"	3828.75	4681	4416.92	4371.12	4533.08	4842.98
"386"	"t10345aep"	1690.97	2574	2527.01	2049.04	2543	2591.02
"387"	"t10346aep"	1617.9	2348.62	2159.85	1942.99	2207	2208.96
"388"	"t10347aep"	279	354.38	309	393.97	338	345
"389"	"t10348aep"	151	230	161	168	224	186
"390"	"t10349aep"	2	1	0	0	2	2
"391"	"t1034aep"	19.31	25.34	16.24	38.77	28.96	36.89
"392"	"t10350aep"	255	310	338	316	293	323
"393"	"t10351aep"	244	427	348	298	410.13	262
"394"	"t10352aep"	0	0	0	0	0	0
"395"	"t10353aep"	537.06	389	454.07	662.45	410.98	427
"396"	"t10354aep"	122	85	40	144	80	54
"397"	"t10355aep"	5772.57	7447.97	7303.95	6756.75	7511.14	7205.74
"398"	"t10356aep"	63	45	29	90	55	60
"399"	"t10357aep"	0	0	0	0	0	0
"400"	"t10358aep"	0	0	0	1	1	2
"401"	"t10359aep"	1194.64	1475	1327.69	1760.76	1551	1442.99
"402"	"t1035aep"	29.03	36.08	37.07	49.14	28.51	35.52
"403"	"t10360aep"	7.85	12.4	4.95	14.61	23.97	19.33
"404"	"t10361aep"	751.71	818	687	1024.07	852	911.81
"405"	"t10362aep"	0	0	0	0	0	0
"406"	"t10363aep"	220.85	293.85	261.01	312	305	246
"407"	"t10364aep"	645.53	929.19	963.52	827.93	876.03	828.97
"408"	"t10365aep"	2831.88	3516.89	3359.86	3447.1	3224.81	3551.8
"409"	"t10366aep"	164	123	101.99	223	156	136.98
"410"	"t10367aep"	2	0	0	3	0	1
"411"	"t10368aep"	18	24	10	21	28	21
"412"	"t10369aep"	491	491	485	604.01	449	586
"413"	"t1036aep"	3.72	2.58	2.73	8.62	4.55	2.59
"414"	"t10370aep"	0	0	0	0	0	0
"415"	"t10371aep"	440.97	331	386.98	586.95	403	405.98
"416"	"t10372aep"	0	0	0	0	0	0
"417"	"t10373aep"	191	221	238	237	190	267
"418"	"t10374aep"	0	4	3	0	2	2
"419"	"t10375aep"	0	0	0	0	0	0
"420"	"t10376aep"	0	0	0	0	0	0
"421"	"t10377aep"	1423	1903	1845.01	1571	1850	1831.98
"422"	"t10378aep"	0	0	0	0	0	0
"423"	"t10379aep"	3	2	4	3	2	3
"424"	"t1037aep"	48.14	72.14	45.85	84.29	63.13	76.01
"425"	"t10380aep"	368	354	281.99	545.82	366	427
"426"	"t10381aep"	0	0	0	0	0	0
"427"	"t10382aep"	0	0	0	0	0	0
"428"	"t10383aep"	1258.21	1530.9	1372	1586.88	1541.99	1591.36
"429"	"t10384aep"	2	1	2	3	2	1
"430"	"t10385aep"	0	0	0	0	0	0
"431"	"t10386aep"	0	0	0	0	0	0
"432"	"t10387aep"	4244	5591	5573.02	4410.07	5176.49	5176.49
"433"	"t10388aep"	832.73	907	550	1152.84	746	624
"434"	"t10389aep"	0	0	0	0	0	0
"435"	"t1038aep"	0	2	1	3.84	2.01	2.85
"436"	"t10390aep"	7	8	5	18	16	9
"437"	"t10391aep"	4	10	4	5	7	7
"438"	"t10392aep"	4	1	4	9	3	6
"439"	"t10393aep"	0	0	0	0	0	0
"440"	"t10394aep"	16	10	3	22	12.94	14
"441"	"t10395aep"	0	0	0	0	0	0
"442"	"t10396aep"	0	0	0	0	0	0
"443"	"t10397aep"	552	652	611.99	722	665.06	688.53
"444"	"t10398aep"	0	0	0	0	0	0
